V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1990	340699	340699	282571	282571	282571	282571	282571	282571	282571	282571	282571
1991	282571	282571	330450	330450	330450	330450	330450	330450	330450	330450	330450
1992	330450	330450	286456	286456	286456	286456	286456	286456	286456	286456	286456
1993	286456	286456	304396	304396	304396	304396	304396	304396	304396	304396	304396
1994	304396	304396	277174	277174	277174	277174	277174	277174	277174	277174	277174
1995	277174	277174	403450	403450	403450	403450	403450	403450	403450	403450	403450
1996	403450	403450	381989	381989	381989	381989	381989	381989	381989	381989	381989
1997	381989	381989	253315	253315	253315	253315	253315	253315	253315	253315	253315
1998	253315	253315	337554	337554	337554	337554	337554	337554	337554	337554	337554
1999	337554	337554	290905	290905	290905	290905	290905	290905	290905	290905	290905

se_actual_hist_seq_columbia
	13	14	16	17	18	19	20	21	22	23	24
1940	321483	321483	274656	274656	274656	274656	274656	274656	274656	274656	274656
1941	274656	274656	285551	285551	285551	285551	285551	285551	285551	285551	285551
1942	285551	285551	271237	271237	271237	271237	271237	271237	271237	271237	271237
1943	271237	271237	240467	240467	240467	240467	240467	240467	240467	240467	240467
1944	240467	240467	251683	251683	251683	251683	251683	251683	251683	251683	251683
1945	251683	251683	355987	355987	355987	355987	355987	355987	355987	355987	355987
1946	355987	355987	330224	330224	330224	330224	330224	330224	330224	330224	330224
1947	330224	330224	352165	352165	352165	352165	352165	352165	352165	352165	352165
1948	352165	352165	275804	275804	275804	275804	275804	275804	275804	275804	275804
1949	275804	275804	344613	344613	344613	344613	344613	344613	344613	344613	344613
1950	344613	344613	321309	321309	321309	321309	321309	321309	321309	321309	321309
1951	321309	321309	317727	317727	317727	317727	317727	317727	317727	317727	317727
1952	317727	317727	298419	298419	298419	298419	298419	298419	298419	298419	298419
1953	298419	298419	378574	378574	378574	378574	378574	378574	378574	378574	378574
1954	378574	378574	324500	324500	324500	324500	324500	324500	324500	324500	324500
